way_id,coordinates
62,"105.8444811,20.9612379;105.8442351,20.9612041;105.8438974,20.9611677;105.8437249,20.9611469;105.843082,20.9610696;105.8426872,20.9610135;105.8422455,20.9609519"
63,"105.7207017,21.0140647;105.7206745,21.0138045"
64,"105.8479794,20.9453301;105.8478816,20.9453611;105.8477833,20.9453558;105.8476143,20.9453467;105.8474631,20.9453341;105.8471211,20.9453072;105.8460397,20.945234;105.8459374,20.9452245"
65,"105.8444862,20.9492295;105.8445851,20.9492287;105.8446871,20.9492036;105.8447774,20.949173;105.8452974,20.9489758;105.8453995,20.9489263;105.8457905,20.9486973;105.8459059,20.9486297;105.8460064,20.9485564;105.8460131,20.9485506;105.8461819,20.9484029;105.846335,20.948277;105.8465882,20.9480075;105.846783,20.9477951;105.8470037,20.9474068;105.847499,20.947608;105.847788,20.9477254;105.8481713,20.9479482;105.8482708,20.948006;105.848323,20.9480342;105.8486474,20.9482092;105.8488002,20.9482843;105.8488843,20.9483032"
66,"105.8393876,20.9378957;105.8397532,20.9376681;105.8397776,20.9376552"
67,"105.8593523,20.9226212;105.8591932,20.9226821;105.8586363,20.9228354;105.8580462,20.9229676;105.8576445,20.9230269;105.8574308,20.9230599"
68,"105.8272925,20.8994253;105.8273471,20.8994773;105.8275877,20.8998114;105.8277785,20.9002528;105.828017,20.900844;105.8281824,20.9012166;105.8285853,20.9023433;105.8288214,20.9030037;105.8290461,20.9036321;105.8293065,20.9045128;105.8294466,20.9050084;105.8295019,20.9051984;105.829576,20.9054638;105.8296459,20.9058349"
69,"105.8308066,20.9812591;105.8308681,20.9813261;105.8310121,20.9814793;105.8311537,20.9816113;105.8314554,20.9817279;105.831586,20.9817804;105.8316268,20.9817987;105.8317477,20.981841;105.8318694,20.981888;105.8318883,20.9818953;105.8322495,20.9820156;105.8327828,20.9821954;105.8329688,20.9822581;105.8331816,20.982337;105.8333098,20.9823846;105.8334686,20.9824417;105.8336764,20.982518"
70,"105.837589,21.009484;105.8376584,21.0095489;105.8378631,21.0097216;105.8379433,21.009784"
71,"105.8123747,21.0075224;105.8124518,21.0076105;105.8125451,21.0077181;105.8126242,21.0078146;105.8128845,21.0081049;105.8130352,21.0082771;105.8131836,21.0084469;105.8133317,21.0085866"
72,"105.8045817,21.0149334;105.8046442,21.0148699;105.8047308,21.0148001;105.804989,21.0145725;105.8051842,21.0143891;105.8057067,21.0138983;105.8058155,21.0137961;105.8061541,21.0134793;105.8062548,21.0133928;105.8064131,21.013257;105.8067941,21.0129701;105.8069921,21.0128211;105.8071741,21.0126806;105.8073456,21.012555;105.8076304,21.0123405;105.8080619,21.0120157;105.8082012,21.0119174;105.8084656,21.0117321;105.8085203,21.0116922;105.8087088,21.0115489;105.8090054,21.0113466;105.8091446,21.0112516;105.8094277,21.0110587;105.8098475,21.0107573;105.8101669,21.0105264;105.8104128,21.0103694;105.8105007,21.0103209"
73,"105.7890062,21.009516;105.7891717,21.0096258;105.7894762,21.0098552;105.789974,21.0102108;105.7902054,21.0103759"
74,"105.7923046,21.0190067;105.7922167,21.0189565;105.7921825,21.0189364;105.791774,21.0186962;105.7910612,21.0182772;105.7908684,21.0181638;105.7907154,21.0180735;105.7906776,21.0180504;105.790522,21.0179552;105.7902902,21.0178247;105.7901103,21.0177151"
75,"105.765238,21.0108684;105.7652337,21.0104968;105.765233,21.0104356;105.765229,21.0103773;105.7652328,21.0101606;105.7651936,21.009984;105.7651891,21.009934;105.765202,21.0096135;105.7652679,21.0094488;105.765304,21.0094017;105.7653066,21.0093983;105.7654396,21.0092244;105.765606,21.0091023;105.7656713,21.0090481;105.7657889,21.0089515;105.7658859,21.0088719;105.7659312,21.0088192;105.7659555,21.0087825;105.7660555,21.008631;105.7660833,21.0085914;105.7661141,21.0085517;105.766301,21.0083569;105.766489,21.0081348;105.7666846,21.0079144;105.7669538,21.0076125;105.7672856,21.0072712;105.7673209,21.0072343;105.7673559,21.0072066;105.7674289,21.0071489"
76,"105.8532306,21.025479;105.8530421,21.0255544;105.8523093,21.0257712;105.851875,21.0258997;105.8516669,21.02596"
77,"105.8341732,21.0278309;105.8340863,21.0278673;105.8336896,21.0280189;105.833564,21.0280674;105.833445,21.0281154;105.8332539,21.0281923"
78,"105.8363636,21.0556471;105.8364264,21.0555442"
